"ID";"Bronnen";"Perioden";"CO2_1";"CH4_2";"N2O_3"
"498";"A025432  ";"2016JJ00";"     160";"    0.01";"    0.01"
"499";"A025432  ";"2017JJ00";"     150";"    0.01";"    0.01"
"500";"A025433  ";"1990JJ00";"    1820";"    0.24";"    0.02"
"501";"A025433  ";"1995JJ00";"    2100";"    0.27";"    0.03"
"502";"A025433  ";"2000JJ00";"    2310";"    0.26";"    0.03"
"503";"A025433  ";"2001JJ00";"    2340";"    0.25";"    0.03"
"504";"A025433  ";"2002JJ00";"    2240";"    0.23";"    0.03"
"505";"A025433  ";"2003JJ00";"    2180";"    0.22";"    0.03"
"506";"A025433  ";"2004JJ00";"    2200";"    0.21";"    0.03"
"507";"A025433  ";"2005JJ00";"    2240";"    0.21";"    0.03"
"508";"A025433  ";"2006JJ00";"    2250";"    0.20";"    0.03"
"509";"A025433  ";"2007JJ00";"    2230";"    0.19";"    0.03"
"510";"A025433  ";"2008JJ00";"    2330";"    0.18";"    0.03"
"511";"A025433  ";"2009JJ00";"    2300";"    0.17";"    0.03"
"512";"A025433  ";"2010JJ00";"    2100";"    0.15";"    0.03"
"513";"A025433  ";"2011JJ00";"    2150";"    0.15";"    0.03"
"514";"A025433  ";"2012JJ00";"    2080";"    0.14";"    0.03"
"515";"A025433  ";"2013JJ00";"    1930";"    0.13";"    0.02"
"516";"A025433  ";"2014JJ00";"    1930";"    0.12";"    0.02"
"517";"A025433  ";"2015JJ00";"    1930";"    0.11";"    0.02"
"518";"A025433  ";"2016JJ00";"    1930";"    0.10";"    0.02"
"519";"A025433  ";"2017JJ00";"    1940";"    0.10";"    0.02"
